!CSV A.01.01
!Keysight Technologies,N5242B,MY58422168,A.13.50.09
!Date: Friday, July 09, 2021 19:34:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd11(DB),Sdd11(DEG),Sdd12(DB),Sdd12(DEG),Sdc11(DB),Sdc11(DEG),Sdc12(DB),Sdc12(DEG),Sdd21(DB),Sdd21(DEG),Sdd22(DB),Sdd22(DEG),Sdc21(DB),Sdc21(DEG),Sdc22(DB),Sdc22(DEG),Scd11(DB),Scd11(DEG),Scd12(DB),Scd12(DEG),Scc11(DB),Scc11(DEG),Scc12(DB),Scc12(DEG),Scd21(DB),Scd21(DEG),Scd22(DB),Scd22(DEG),Scc21(DB),Scc21(DEG),Scc22(DB),Scc22(DEG)
270000000,-13.810126,-91.537918,-49.044415,83.109268,-60.586567,-20.333035,-58.178646,-32.145645,23.581917,174.14569,-4.8957033,174.25201,-22.778208,-137.59174,-27.653284,40.90065,-19.273693,-66.445969,-30.252815,176.78773,-1.1815772,-3.4801526,-32.902744,30.366262,4.3805089,-91.686531,-8.9638071,165.25418,-9.9892225,-35.406067,-10.59799,143.00574
275000000,-13.880565,-93.689034,-44.320969,32.068989,-54.318481,-168.00128,-51.399891,14.528872,23.67169,173.81841,-5.2596726,172.80374,-24.085665,-131.32637,-27.701426,37.198116,-18.861641,-76.384628,-32.972687,-161.42786,-1.1773208,-3.6409907,-29.557697,33.273293,4.2543726,-102.5689,-8.974926,160.29736,-9.4667273,-36.735912,-11.017842,144.33698
280000000,-13.874838,-91.737648,-40.317341,-21.790024,-51.742649,175.33957,-42.327618,30.233013,23.586405,173.78662,-5.1918144,174.9865,-21.567381,-132.06192,-31.195108,20.576092,-21.346378,-71.055092,-30.610863,163.91156,-1.1502806,-3.4242814,-33.504414,37.822384,2.9604719,-100.36655,-8.5314684,165.96257,-8.7822809,-35.324947,-11.703115,145.75789
285000000,-13.545295,-100.7473,-42.219864,-157.88142,-61.619785,-173.43915,-40.394825,-48.165611,23.774124,174.24644,-5.0163527,171.48131,-26.494757,-159.61848,-34.449226,53.88752,-18.91152,-77.301765,-32.888172,-176.49066,-1.1186628,-3.6884778,-29.945988,36.335518,4.4304891,-106.10452,-7.4459615,163.4324,-7.7545228,-36.513447,-12.186588,145.97697
290000000,-15.869298,-97.170311,-44.953979,44.976479,-51.589317,-177.48286,-54.739021,-19.045626,23.650146,171.37007,-4.9564071,171.09604,-23.165068,-175.77092,-39.09856,-36.326305,-21.681364,-58.481438,-29.478083,-175.21858,-1.1123098,-3.9619956,-31.373285,20.413652,1.0808773,-87.58065,-7.2392912,157.49002,-7.5631146,-44.677006,-10.971203,156.99542
295000000,-14.605384,-92.139343,-42.126102,47.346802,-55.18227,143.8029,-62.011227,154.13824,23.525307,173.42233,-5.3678441,169.56618,-24.321199,-147.9843,-37.376244,133.42798,-18.783838,-63.886566,-28.852535,175.94994,-1.1130433,-3.77915,-31.172445,25.321657,4.448802,-90.977928,-6.2459345,158.67456,-7.3690782,-41.38047,-11.988276,145.84213
300000000,-14.632818,-94.991615,-35.878639,43.74226,-55.147469,-165.81531,-44.957188,128.19002,23.632139,173.76971,-5.7995272,170.37781,-23.441404,-167.98145,-31.385576,108.43221,-17.61985,-72.624031,-28.74822,-178.49698,-1.0786458,-3.9525235,-30.15283,20.392756,5.4949861,-97.519333,-5.7844067,152.92581,-6.6803231,-42.868649,-12.477989,151.11238
305000000,-14.11707,-95.467949,-41.815979,-10.443131,-51.734024,-177.84833,-44.806263,29.710894,23.615496,173.88733,-5.7492414,173.31409,-27.737465,-146.5322,-25.504261,62.576447,-17.984386,-86.960503,-28.589935,162.39307,-1.0949774,-4.086113,-32.710636,24.559977,5.6561308,-110.69327,-6.6093292,145.13145,-6.4540558,-43.317883,-11.349306,154.39153
310000000,-14.483524,-99.008446,-39.933979,15.180295,-54.907143,-169.74226,-46.743706,58.179218,23.724266,173.5583,-6.0355754,170.72023,-22.976702,-164.44168,-26.3218,74.753517,-17.943741,-83.056747,-28.145475,151.88264,-1.0606022,-4.0420699,-33.191845,31.231915,6.1259637,-107.39336,-6.2139049,144.88622,-5.7776728,-44.48262,-12.108279,150.59392
315000000,-14.888778,-97.736504,-42.717964,-13.625482,-50.007038,-171.18083,-44.758209,13.230545,23.616404,172.6819,-6.012341,171.05818,-22.599113,-168.07237,-27.561008,53.61132,-19.011568,-98.253273,-27.737024,155.01152,-1.0687685,-4.3690557,-33.564606,23.356348,5.063375,-121.87097,-6.0210876,142.08212,-5.3967013,-47.87664,-11.160488,157.95583
